149,"Rollyside in het Dagblad van het Noorden","2017-02-01 0:00:00",," "," ","..\img\nieuws\149\\THUMBNAIL.jpg"
1241,"Anjelika kreeg hoog bezoek in het UMCG","2017-02-18 0:00:00",," <img src=""&lt;strong&gt;./img/nieuws/1241//article_images/5e60b24179caa.jpg&lt;/strong&gt;""/><p></p><p>Afgelopen donderdag 16 februari kreeg Anjelika een opkikkertje. De direkteur van FC Groningen kwam samen met het bestuur van de Rollyside even op bezoek bij Anjelika. Ze staken haar even een hart onder de riem om haar te vertellen dat ze eventueel vanuit haar ziekbed naar FC Groningen - Ajax gaat. Dit ligt natuurlijk aan de gezondheid en de mogelijk heden van Anjelika. We begrijpen dat ze er erg naar uit ziet. Op dit moment ligt Anjelika nog in het UMCG.</p>"," <img src=""&lt;strong&gt;./img/nieuws/1241//article_images/5e60b24179caa.jpg&lt;/strong&gt;""/><p></p><p>Afgelopen donderdag 16 februari kreeg Anjelika een opkikkertje. De direkteur van FC Groningen kwam samen met het bestuur van de Rollyside even op bezoek bij Anjelika. Ze staken haar even een hart onder de riem om haar te vertellen dat ze eventueel vanuit haar ziekbed naar FC Groningen - Ajax gaat. Dit ligt natuurlijk aan de gezondheid en de mogelijk heden van Anjelika. We begrijpen dat ze er erg naar uit ziet. Op dit moment ligt Anjelika nog in het UMCG.</p>","..\img\nieuws\1241\\THUMBNAIL.jpg"
2578,"Nog MIVA kaarten voor Utrecht","2017-02-24 0:00:00","Laatste kans voor MIVA kaarten tegen FC Utrecht op de Rollyside wees er snel bij. "," <p>Laatste kans voor MIVA kaarten tegen FC Utrecht op de Rollyside wees er snel bij. </p><p>De.kaarten zijn te bestellen via <a href=""https://kaartverkoop.fcgroningen.nl/"">https://kaartverkoop.fcgroningen.nl/</a>  bij FC Groningen tot zaterdagmiddag 18.30 uur. Het is verplicht om als MIVA een begeleider mee te nemen, de toegang voor de begeleider is gratis. De kaarten kosten ? 21,00 </p> .<img src=""&lt;strong&gt;./img/nieuws/2578//article_images/5e60b242b1d7e.jpg&lt;/strong&gt;""/>"," <p>Laatste kans voor MIVA kaarten tegen FC Utrecht op de Rollyside wees er snel bij. </p><p>De.kaarten zijn te bestellen via <a href=""https://kaartverkoop.fcgroningen.nl/"">https://kaartverkoop.fcgroningen.nl/</a>  bij FC Groningen tot zaterdagmiddag 18.30 uur. Het is verplicht om als MIVA een begeleider mee te nemen, de toegang voor de begeleider is gratis. De kaarten kosten ? 21,00 </p> .<img src=""&lt;strong&gt;./img/nieuws/2578//article_images/5e60b242b1d7e.jpg&lt;/strong&gt;""/>","..\img\nieuws\2578\\THUMBNAIL.jpg"
2603,Matchday,"2017-03-05 0:00:00",," <img src=""&lt;strong&gt;./img/nieuws/2603//article_images/5e60b244486d9.jpg&lt;/strong&gt;""/>"," <img src=""&lt;strong&gt;./img/nieuws/2603//article_images/5e60b244486d9.jpg&lt;/strong&gt;""/>","..\img\nieuws\2603\\THUMBNAIL.jpg"
2609,"Wens van zieke Anjelika is vervuld","2017-03-05 0:00:00","Haar grote wens is FC Groningen- Ajax zien. Anjelika Schulz is 49 jaar en is 7 jaar bestuurslid geweest bij de Rollyside. Met hart en ziel stond zij iedere dag voor de club klaar. Er is geen grotere fan te vinden die de 'Trots van het Noorden'"," <p>Haar grote wens is FC Groningen- Ajax zien. Anjelika Schulz is 49 jaar en is 7 jaar bestuurslid geweest bij de Rollyside. Met hart en ziel stond zij iedere dag voor de club klaar. Er is geen grotere fan te vinden die de 'Trots van het Noorden' een warmer hart toedraagt dan zij. Anjelika is ernstig ziek en miste daardoor al enige tijd de wedstrijden op de Rollyside van haar FC. Ze had echter duidelijk nog een wens: FC Groningen tegen Ajax zien spelen! Met de inzet van de Rollyside en met name Johan en Heike ten Hoove, 100% Groningen, FC Groningen en de gemeente Groningen is het gelukt, zij hebben zich hier hard voor gemaakt! Anjelika zat daarom vanmiddag samen met haar moeder en Johan ten Hoove voorzitter Rollyside te genieten van de wedstrijd op een prachtige, eervolle plek!  Namelijk een skybox bij FC Groningen. Zelfs de burgemeester Peter den Oudsten van Groningen kwam nog even langs. </p><p>                                   <img src=""&lt;strong&gt;./img/nieuws/2609//article_images/5e60b245f10af.jpg&lt;/strong&gt;""/><img src=""&lt;strong&gt;./img/nieuws/2609//article_images/5e60b24670607.jpg&lt;/strong&gt;""/></p><p>Anjelika en haar familie willen hiervoor natuurlijk iedereen bedanken voor hun inzet om dit mogelijk te maken, Hun woorden waren geweldig en wat zijn we verwend en in het zonnetje gezet.</p>"," <p>Haar grote wens is FC Groningen- Ajax zien. Anjelika Schulz is 49 jaar en is 7 jaar bestuurslid geweest bij de Rollyside. Met hart en ziel stond zij iedere dag voor de club klaar. Er is geen grotere fan te vinden die de 'Trots van het Noorden' een warmer hart toedraagt dan zij. Anjelika is ernstig ziek en miste daardoor al enige tijd de wedstrijden op de Rollyside van haar FC. Ze had echter duidelijk nog een wens: FC Groningen tegen Ajax zien spelen! Met de inzet van de Rollyside en met name Johan en Heike ten Hoove, 100% Groningen, FC Groningen en de gemeente Groningen is het gelukt, zij hebben zich hier hard voor gemaakt! Anjelika zat daarom vanmiddag samen met haar moeder en Johan ten Hoove voorzitter Rollyside te genieten van de wedstrijd op een prachtige, eervolle plek!  Namelijk een skybox bij FC Groningen. Zelfs de burgemeester Peter den Oudsten van Groningen kwam nog even langs. </p><p>                                   <img src=""&lt;strong&gt;./img/nieuws/2609//article_images/5e60b245f10af.jpg&lt;/strong&gt;""/><img src=""&lt;strong&gt;./img/nieuws/2609//article_images/5e60b24670607.jpg&lt;/strong&gt;""/></p><p>Anjelika en haar familie willen hiervoor natuurlijk iedereen bedanken voor hun inzet om dit mogelijk te maken, Hun woorden waren geweldig en wat zijn we verwend en in het zonnetje gezet.</p>","..\img\nieuws\2609\\THUMBNAIL.jpg"
2613,"Anjelika Schulz overleden","2017-03-08 0:00:00","Helaas is  Anjelika dinsdag 7 maart overleden. Wij als Rollyside zijn blij dat we haar laatste wens nog konden vervullen om naar de wedstrijd FC Groningen Ajax te gaan.  Anjelika is vanaf de oprichting in 2006 tot 2010 bestuurslid geweest van de"," <p>Helaas is  Anjelika dinsdag 7 maart overleden. Wij als Rollyside zijn blij dat we haar laatste wens nog konden vervullen om naar de wedstrijd FC Groningen Ajax te gaan.  Anjelika is vanaf de oprichting in 2006 tot 2010 bestuurslid geweest van de Rollyside.  We hoefden maar een belletje te doen met een vraag en zij was altijd bereid om te helpen. Met Kerst en Sinterklaas was zij samen met haar vriendin Martha die in 2014 is overleden de creatieve kracht van de Rollyside met verschillende ideetjes en presentjes om uit te delen.  Ze reden samen een keer door de Herestraat waar ze door een verslaggever  van de krant werden opgemerkt, de dag erna stonden ze in de krant met als kop de Holligens om Weels. We zullen haar dan ook erg missen. Het bestuur van de Rollyside wensen haar ouders Aty en Helmut Schulz en haar broer en zus enorm veel sterkte toe in deze zware tijd. Wij hopen dat je nu je rust hebt gevonden en weer samen bent met met je beste vriendin Martha.</p><img src=""&lt;strong&gt;./img/nieuws/2613//article_images/5e60b2481c7a9.jpg&lt;/strong&gt;""/>"," <p>Helaas is  Anjelika dinsdag 7 maart overleden. Wij als Rollyside zijn blij dat we haar laatste wens nog konden vervullen om naar de wedstrijd FC Groningen Ajax te gaan.  Anjelika is vanaf de oprichting in 2006 tot 2010 bestuurslid geweest van de Rollyside.  We hoefden maar een belletje te doen met een vraag en zij was altijd bereid om te helpen. Met Kerst en Sinterklaas was zij samen met haar vriendin Martha die in 2014 is overleden de creatieve kracht van de Rollyside met verschillende ideetjes en presentjes om uit te delen.  Ze reden samen een keer door de Herestraat waar ze door een verslaggever  van de krant werden opgemerkt, de dag erna stonden ze in de krant met als kop de Holligens om Weels. We zullen haar dan ook erg missen. Het bestuur van de Rollyside wensen haar ouders Aty en Helmut Schulz en haar broer en zus enorm veel sterkte toe in deze zware tijd. Wij hopen dat je nu je rust hebt gevonden en weer samen bent met met je beste vriendin Martha.</p><img src=""&lt;strong&gt;./img/nieuws/2613//article_images/5e60b2481c7a9.jpg&lt;/strong&gt;""/>","..\img\nieuws\2613\\THUMBNAIL.jpg"
2620,"Officele opening Experience FC Groningen","2017-03-30 0:00:00","Oud spelers Jan van Dijk en Henny Meijer hebben het Experience geopend doormiddel van bal te schoppen door de deur van het Experience."," <p>Oud spelers Jan van Dijk en Henny Meijer hebben het Experience geopend doormiddel van bal te schoppen door de deur van het Experience.</p><img src=""&lt;strong&gt;./img/nieuws/2620//article_images/5e60b2496a7ea.jpg&lt;/strong&gt;""/>                                                    <img src=""&lt;strong&gt;./img/nieuws/2620//article_images/5e60b249e351d.jpg&lt;/strong&gt;""/>     <p>Jan van Dijk heeft in de periode 1975 ? 1992 met 537 officiële duels de meeste wedstrijden achter zijn naam staan bij FC Groningen. Daarnaast was hij trainer en assistent-trainer bij de Trots van het Noorden. In het kader van 60 jaar Eredivisie vertegenwoordigde Van Dijk in september 2016 FC Groningen als clubicoon op het speciale feest op het Kasteel van Spangen en verrichte hij de aftrap tijdens speelronde 5, die in het teken stond van het jubileum van de Eredivisie. Daarnaast maakte FC Groningen TV rond de 60ste verjaardag van Van Dijk een speciale documentaire over ?Mister FC Groningen?</p><p>Henny Meijer speelde tussen 1988 en 1993 in totaal 173 officiële wedstrijden in het groen-wit. Daarin maakte de bonkige spits, die erom bekend stond in de duels zijn ?kont erin te draaien?, 60 doelpunten. Samen met FC Groningen beleefde hij in het seizoen 1990/1991 en topjaar. De Trots van het Noorden mengde zich tot vier speelronden voor het einde van de competitie in de strijd om het landskampioenschap van Nederland. Meijer won dat jaar met de Gouden Schoen een individuele prijs voor zijn sterke optreden in het toenmalige Stadion Oosterpark. Deze school is een half jaar te bezichtigen in het Experience.</p><p>Voor publiek Vanaf zaterdag 1 april is de FC Groningen Experience geopend voor publiek.</p><p>Het interactieve museum is in eerste instantie tot 1 juli 2017 gratis te bezoeken op twee vaste momenten in de week:</p><p>- op zaterdag tussen 11.00 uur en 16.00 uur - op woensdagmiddag tussen 13.00 uur en 17.00 uur</p>"," <p>Oud spelers Jan van Dijk en Henny Meijer hebben het Experience geopend doormiddel van bal te schoppen door de deur van het Experience.</p><img src=""&lt;strong&gt;./img/nieuws/2620//article_images/5e60b2496a7ea.jpg&lt;/strong&gt;""/>                                                    <img src=""&lt;strong&gt;./img/nieuws/2620//article_images/5e60b249e351d.jpg&lt;/strong&gt;""/>     <p>Jan van Dijk heeft in de periode 1975 ? 1992 met 537 officiële duels de meeste wedstrijden achter zijn naam staan bij FC Groningen. Daarnaast was hij trainer en assistent-trainer bij de Trots van het Noorden. In het kader van 60 jaar Eredivisie vertegenwoordigde Van Dijk in september 2016 FC Groningen als clubicoon op het speciale feest op het Kasteel van Spangen en verrichte hij de aftrap tijdens speelronde 5, die in het teken stond van het jubileum van de Eredivisie. Daarnaast maakte FC Groningen TV rond de 60ste verjaardag van Van Dijk een speciale documentaire over ?Mister FC Groningen?</p><p>Henny Meijer speelde tussen 1988 en 1993 in totaal 173 officiële wedstrijden in het groen-wit. Daarin maakte de bonkige spits, die erom bekend stond in de duels zijn ?kont erin te draaien?, 60 doelpunten. Samen met FC Groningen beleefde hij in het seizoen 1990/1991 en topjaar. De Trots van het Noorden mengde zich tot vier speelronden voor het einde van de competitie in de strijd om het landskampioenschap van Nederland. Meijer won dat jaar met de Gouden Schoen een individuele prijs voor zijn sterke optreden in het toenmalige Stadion Oosterpark. Deze school is een half jaar te bezichtigen in het Experience.</p><p>Voor publiek Vanaf zaterdag 1 april is de FC Groningen Experience geopend voor publiek.</p><p>Het interactieve museum is in eerste instantie tot 1 juli 2017 gratis te bezoeken op twee vaste momenten in de week:</p><p>- op zaterdag tussen 11.00 uur en 16.00 uur - op woensdagmiddag tussen 13.00 uur en 17.00 uur</p>","..\img\nieuws\2620\\THUMBNAIL.jpg"
2954,"Ascheid Harm Slor","2017-05-07 0:00:00","Omdat Harm voor de laatste keer de kaartjes heeft gescand hadden de meeste leden van de Rollyside een kleinigheidje voor Harm meegenomen. Harm wist natuurlijk van niets en was blij verrast. "," <img src=""&lt;strong&gt;./img/nieuws/2954//article_images/5e60b24b887c4.jpg&lt;/strong&gt;""/><p>Omdat Harm voor de laatste keer de kaartjes heeft gescand hadden de meeste leden van de Rollyside een kleinigheidje voor Harm meegenomen. Harm wist natuurlijk van niets en was blij verrast. </p><p>Ruim 10 jaar heeft hij de kaartjes gescand in de Euroborg. Daarvoor was hij materiaal man bij de FC Groningen. Na 41 jaar stopt hij er nu mee en gaat genieten van zijn vrije tijd met zijn vrouw Joke.</p><p>Harm bedankt je stond altijd voor de Rollyside klaar en niets was je te veel. We hopen je nu alleen nog te zien als supporter van de FC en tijdens onze jaarvergadering als lid van de Rollyside.</p><a href=""https://www.rollyside.nl/foto-gallerij/"">Klik hier voor de foto's</a>  "," <img src=""&lt;strong&gt;./img/nieuws/2954//article_images/5e60b24b887c4.jpg&lt;/strong&gt;""/><p>Omdat Harm voor de laatste keer de kaartjes heeft gescand hadden de meeste leden van de Rollyside een kleinigheidje voor Harm meegenomen. Harm wist natuurlijk van niets en was blij verrast. </p><p>Ruim 10 jaar heeft hij de kaartjes gescand in de Euroborg. Daarvoor was hij materiaal man bij de FC Groningen. Na 41 jaar stopt hij er nu mee en gaat genieten van zijn vrije tijd met zijn vrouw Joke.</p><p>Harm bedankt je stond altijd voor de Rollyside klaar en niets was je te veel. We hopen je nu alleen nog te zien als supporter van de FC en tijdens onze jaarvergadering als lid van de Rollyside.</p><a href=""https://www.rollyside.nl/foto-gallerij/"">Klik hier voor de foto's</a>  ","..\img\nieuws\2954\\THUMBNAIL.jpg"
2965,"Rollyside steunt Compacte Noordtribune","2017-08-06 0:00:00","Dit schreeft John Schurer?Voorzitter Supportersvereniging FC Groningen"," <h1>Compacte Noordtribune gaat de club volop steunen!!</h1><h1>Ik word hier altijd vrolijk van. Een prachtig bericht waarbij jonge en oude supporters zich herpakken op de Noordtribune. Ongeacht bij welke groepering men hoort er telt maar één ding, de club op allerlei mogelijke manieren steunen. Gezamenlijk! Een geweldig initiatief dat de Supportersvereniging FC Groningen volledig steunt en ondersteunt. Maar het zal niet alleen de Noordtribune moeten zijn maar het complete stadion. Wij als SV roepen dan ook alle vierduizend leden op die op de Noordtribune en in de rest van het stadion zitten aan te sluiten bij dit initiatief tijdens een wedstrijd om onze club volledig te steunen en er gezamenlijk een prachtig seizoen van te maken te beginnen tegen Heerenveen. Het stadion zal uiteindelijk in een compacte ondersteuning moeten uitdragen dat FC Groningen onoverwinnelijk is. Want laat het duidelijk zijn ?Samen zijn wij zijn Groningen"".</h1><p>Dit schreeft John Schurer?Voorzitter Supportersvereniging FC Groningen</p><p>Wij als Rollyside ondersteunen dit natuurlijk van harte.</p><p>Johan ten Hoove Voorzitter Rollyside FC Groningen</p>"," <h1>Compacte Noordtribune gaat de club volop steunen!!</h1><h1>Ik word hier altijd vrolijk van. Een prachtig bericht waarbij jonge en oude supporters zich herpakken op de Noordtribune. Ongeacht bij welke groepering men hoort er telt maar één ding, de club op allerlei mogelijke manieren steunen. Gezamenlijk! Een geweldig initiatief dat de Supportersvereniging FC Groningen volledig steunt en ondersteunt. Maar het zal niet alleen de Noordtribune moeten zijn maar het complete stadion. Wij als SV roepen dan ook alle vierduizend leden op die op de Noordtribune en in de rest van het stadion zitten aan te sluiten bij dit initiatief tijdens een wedstrijd om onze club volledig te steunen en er gezamenlijk een prachtig seizoen van te maken te beginnen tegen Heerenveen. Het stadion zal uiteindelijk in een compacte ondersteuning moeten uitdragen dat FC Groningen onoverwinnelijk is. Want laat het duidelijk zijn ?Samen zijn wij zijn Groningen"".</h1><p>Dit schreeft John Schurer?Voorzitter Supportersvereniging FC Groningen</p><p>Wij als Rollyside ondersteunen dit natuurlijk van harte.</p><p>Johan ten Hoove Voorzitter Rollyside FC Groningen</p>",https://place-hold.it/650
2968,"Rollyside verrast rolstoeler met een vrijkaart","2017-09-12 0:00:00","De Rollyside wil zijn maatschappelijke verantwoording waarmaken door bij de thuiswedstrijden van FC Groningen steeds 2 rolstoel gebruikers uit te nodigen. Het zijn veelal supporters van FC Groningen die normaal niet naar de wedstrijden gaan. De"," <p>De Rollyside wil zijn maatschappelijke verantwoording waarmaken door bij de thuiswedstrijden van FC Groningen steeds 2 rolstoel gebruikers uit te nodigen. Het zijn veelal supporters van FC Groningen die normaal niet naar de wedstrijden gaan. De Rollyside geeft hun nu de mogelijkheid om de wedstrijden bij te wonen. Deze keer was er  een oproep bij RTV Noord om te bellen voor de kaarten en de gelukkigen waren Trijntje Kerhof zij belde voor haar schoonmoeder, er was nog een beller  die is echter zonder duidelijke reden  niet gekomen wat wij natuurlijk erg spijtig vinden. Maar desondanks hebben Trijntje en haar schoonmoeder een leuke middag gehad.</p>"," <p>De Rollyside wil zijn maatschappelijke verantwoording waarmaken door bij de thuiswedstrijden van FC Groningen steeds 2 rolstoel gebruikers uit te nodigen. Het zijn veelal supporters van FC Groningen die normaal niet naar de wedstrijden gaan. De Rollyside geeft hun nu de mogelijkheid om de wedstrijden bij te wonen. Deze keer was er  een oproep bij RTV Noord om te bellen voor de kaarten en de gelukkigen waren Trijntje Kerhof zij belde voor haar schoonmoeder, er was nog een beller  die is echter zonder duidelijke reden  niet gekomen wat wij natuurlijk erg spijtig vinden. Maar desondanks hebben Trijntje en haar schoonmoeder een leuke middag gehad.</p>","..\img\nieuws\2968\\THUMBNAIL.jpg"
